packet_index,strategy_id,path_id,sequence_num,fragment_id,total_fragments,send_delay_ms,arrival_time_ms,ip_id_decimal,ip_id_hex,target_packet_length,packet_length,payload_bytes,analysis_hint
305,5,0,1,305,444,0.0,0.0,53399,0xd097,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
306,5,0,1,306,444,0.0,0.0,53396,0xd094,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
307,5,1,1,307,444,0.0,0.0,55012,0xd6e4,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
308,5,2,1,308,444,0.0,0.0,55825,0xda11,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
309,5,0,1,309,444,0.0,0.0,53395,0xd093,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
310,5,1,1,310,444,0.0,0.0,55009,0xd6e1,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
311,5,2,1,311,444,0.0,0.0,55826,0xda12,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
312,5,0,1,312,444,0.0,0.0,53406,0xd09e,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
313,5,1,1,313,444,0.0,0.0,55022,0xd6ee,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
314,5,2,1,314,444,0.0,0.0,55839,0xda1f,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
315,5,1,1,315,444,0.0,0.0,55020,0xd6ec,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
316,5,2,1,316,444,0.0,0.0,55833,0xda19,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
317,5,0,1,317,444,0.0,0.0,53403,0xd09b,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
318,5,0,1,318,444,0.0,0.0,53400,0xd098,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
319,5,1,1,319,444,0.0,0.0,55016,0xd6e8,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
320,5,2,1,320,444,0.0,0.0,55909,0xda65,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
321,5,0,1,321,444,0.0,0.0,53479,0xd0e7,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
322,5,2,1,322,444,0.0,0.0,55911,0xda67,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
323,5,1,1,323,444,0.0,0.0,54932,0xd694,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
324,5,0,1,324,444,0.0,0.0,53474,0xd0e2,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
325,5,1,1,325,444,0.0,0.0,54930,0xd692,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
326,5,2,1,326,444,0.0,0.0,55907,0xda63,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
327,5,1,1,327,444,0.0,0.0,54928,0xd690,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
328,5,2,1,328,444,0.0,0.0,55917,0xda6d,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
329,5,0,1,329,444,0.0,0.0,53487,0xd0ef,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
330,5,0,1,330,444,0.0,0.0,53484,0xd0ec,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
331,5,1,1,331,444,0.0,0.0,54940,0xd69c,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
332,5,2,1,332,444,0.0,0.0,55913,0xda69,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
333,5,0,1,333,444,0.0,0.0,53483,0xd0eb,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
334,5,1,1,334,444,0.0,0.0,54937,0xd699,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
